headline_main,pub_date,lead_paragraph,Compound_Score
"Regulators Approve New Type of Bitcoin Fund, in Boon for Crypto Industry",2024-01-10T21:34:28+0000,,0.0
Who’s Laughing Now? Banana-as-Art Sells for $6.2 Million at Sotheby’s,2024-11-21T00:54:25+0000,,0.4939
High Food Prices: The Causes and the Politics,2024-08-19T16:25:44+0000,,0.0
Top FTX Executive Sentenced to 7½ Years in Prison,2024-05-28T16:07:43+0000,,-0.3818
U.S. Approves Investment Product Tied to Popular Cryptocurrency Ether,2024-05-24T01:40:22+0000,,0.6705
"Kabosu, Shiba Inu Who Helped Define the Doge Meme, Dies at 18",2024-05-24T11:27:54+0000,,0.0
Sam Bankman-Fried Transferred From Brooklyn Jail,2024-05-22T16:49:14+0000,,0.0
Biden Bans Chinese Bitcoin Mine Near U.S. Nuclear Missile Base,2024-05-14T01:23:38+0000,,0.0
The Big Number: $8 Billion,2024-05-10T15:53:23+0000,,0.0772
FTX Customers Poised to Recover All Funds Lost in Collapse,2024-05-08T05:31:36+0000,,-0.5423
"Behind Nigeria’s Arrest of Binance Employee, Claims of a Bribe Request",2024-05-07T08:00:07+0000,,-0.4939
Binance Founder Sentenced to 4 Months in Prison,2024-04-30T19:01:56+0000,,-0.5267
"Even as He Faces Prison Time, Binance’s Founder Plans a Comeback",2024-04-30T04:00:09+0000,,-0.5106
Countdown Is On for the Bitcoin ‘Halving’,2024-04-18T16:11:55+0000,,0.0
New York Woman Gets 18 Years for Funding Terrorism With Cryptocurrency,2024-04-30T20:12:27+0000,,-0.6808
"Binance Founder Should Get 3 Years in Prison, Prosecutors Say",2024-04-24T16:09:16+0000,,-0.5106
"Bitcoin Hits Record High, Completing a Stunning Comeback",2024-03-05T15:07:41+0000,,0.3818
Bitcoin’s Winning Streak Continues,2024-03-12T15:50:12+0000,,0.5267
How Sam Bankman-Fried’s Sentence Compares With Other White-Collar Cases,2024-03-28T15:53:10+0000,,0.0772
"A Hack of the S.E.C.’s Social Media Account Caused a Bitcoin Frenzy, Briefly",2024-01-09T22:34:34+0000,,-0.3182
$4 Billion of New Bitcoin Funds Change Hands in First Trading Day,2024-01-11T20:01:02+0000,,0.0
"The Big Number: $68,789",2024-03-01T17:18:31+0000,,0.0772
How Donald Trump Is Making Big Promises to Big Business,2024-10-30T14:46:43+0000,,0.3818
A Question No One Was Asking: What if Elon Musk Was on the Bulls?,2024-12-02T22:02:11+0000,,-0.296
